rides_in_thousands,start_station_name,member_casual
1.593,Blue Island Ave & 18th St,casual
3.646,Blue Island Ave & 18th St,member
0.604,Bosworth Ave & Howard St,member
0.197,Bosworth Ave & Howard St,casual
0.023,Bradley Park,member
0.034,Bradley Park,casual
2.196,Broadway & Argyle St,casual
5.299,Broadway & Argyle St,member
16.567,Broadway & Barry Ave,member
7.341,Broadway & Barry Ave,casual
9.458,Broadway & Belmont Ave,member
4.624,Broadway & Belmont Ave,casual
2.138,Broadway & Berwyn Ave,casual
5.234,Broadway & Berwyn Ave,member
6.347,Broadway & Cornelia Ave,casual
13.53,Broadway & Cornelia Ave,member
2.424,Broadway & Granville Ave,casual
4.387,Broadway & Granville Ave,member
3.651,Broadway & Ridge Ave,member
1.6,Broadway & Ridge Ave,casual
4.071,Broadway & Sheridan Rd,casual
9.998,Broadway & Sheridan Rd,member
2.354,Broadway & Thorndale Ave,casual
4.346,Broadway & Thorndale Ave,member
5.443,Broadway & Waveland Ave,casual
14.154,Broadway & Waveland Ave,member
4.019,Broadway & Wilson Ave,casual
7.884,Broadway & Wilson Ave,member
3.634,Buckingham Fountain,member
11.353,Buckingham Fountain,casual
0.326,Budlong Woods Library,member
0.211,Budlong Woods Library,casual
0.017,Burley Ave & 85th St,member
0.05,Burley Ave & 85th St,casual
0.004,Burley Ave & 91st St,casual
0.003,Burley Ave & 91st St,member
8.524,Burling St & Diversey Pkwy,member
2.941,Burling St & Diversey Pkwy,casual
0.06,Burnham Greenway & 105th St,member
0.076,Burnham Greenway & 105th St,casual
0.098,Burnham Greenway & 112th St,member
0.254,Burnham Greenway & 112th St,casual
6.013,Burnham Harbor,member
4.731,Burnham Harbor,casual
0.146,California & 16th St,casual
0.1,California & 16th St,member
0.352,California Ave & 21st St,member
0.27,California Ave & 21st St,casual
0.148,California Ave & 23rd Pl,casual
0.299,California Ave & 23rd Pl,member
0.093,California Ave & 26th St,casual
0.189,California Ave & 26th St,member
0.02,California Ave & 29th St,casual
0.015,California Ave & 29th St,member
0.044,California Ave & 36th St,casual
0.024,California Ave & 36th St,member
0.047,California Ave & 41st St,member
0.067,California Ave & 41st St,casual
0.05,California Ave & 71st St,member
0.055,California Ave & 71st St,casual
2.628,California Ave & Altgeld St,member
1.037,California Ave & Altgeld St,casual
1.631,California Ave & Byron St,member
0.91,California Ave & Byron St,casual
3.492,California Ave & Cortez St,member
2.069,California Ave & Cortez St,casual
2.237,California Ave & Division St,member
1.327,California Ave & Division St,casual
0.971,California Ave & Fletcher St,casual
1.523,California Ave & Fletcher St,member
2.98,California Ave & Francis Pl,member
1.758,California Ave & Francis Pl,casual
0.237,California Ave & Granville Ave,casual
0.635,California Ave & Granville Ave,member
0.396,California Ave & Lake St,casual
0.473,California Ave & Lake St,member
0.066,California Ave & Madison St,casual
0.066,California Ave & Madison St,member
0.104,California Ave & Marquette Rd,casual
0.034,California Ave & Marquette Rd,member
4.423,California Ave & Milwaukee Ave,casual
7.2,California Ave & Milwaukee Ave,member
1.142,California Ave & Montrose Ave,casual
2.376,California Ave & Montrose Ave,member
1.38,California Ave & North Ave,casual
2.588,California Ave & North Ave,member
0.143,California Ave & Touhy Ave,member
0.119,California Ave & Touhy Ave,casual
0.478,California Ave & Winona St,member
0.179,California Ave & Winona St,casual
4.085,Calumet Ave & 18th St,casual
5.089,Calumet Ave & 18th St,member
2.244,Calumet Ave & 21st St,member
2.718,Calumet Ave & 21st St,casual
1.052,Calumet Ave & 33rd St,casual
11.398,Calumet Ave & 33rd St,member
0.521,Calumet Ave & 35th St,casual
2.19,Calumet Ave & 35th St,member
0.374,Calumet Ave & 51st St,member
0.285,Calumet Ave & 51st St,casual
0.077,Calumet Ave & 71st St,member
0.05,Calumet Ave & 71st St,casual
0.187,Calumet Park,casual
0.046,Calumet Park,member
0.016,Campbell Ave & 51st St,member
0.065,Campbell Ave & 51st St,casual
1.016,Campbell Ave & Augusta Blvd,casual
2.011,Campbell Ave & Augusta Blvd,member
1.097,Campbell Ave & Fullerton Ave,casual
1.69,Campbell Ave & Fullerton Ave,member
0.324,Campbell Ave & Irving Park Rd,member
0.207,Campbell Ave & Irving Park Rd,casual
1.017,Campbell Ave & Montrose Ave,casual
2.342,Campbell Ave & Montrose Ave,member
1.895,Campbell Ave & North Ave,casual
4.085,Campbell Ave & North Ave,member
16.959,Canal St & Adams St,member
5.365,Canal St & Adams St,casual
2.222,Canal St & Harrison St,member
1.241,Canal St & Harrison St,casual
2.905,Canal St & Jackson Blvd,casual
8.969,Canal St & Jackson Blvd,member
18.901,Canal St & Madison St,member
7.033,Canal St & Madison St,casual
8.533,Canal St & Monroe St,member
2.759,Canal St & Monroe St,casual
