rides_in_thousands,start_station_name,member_casual
11.079,Franklin St & Jackson Blvd,member
6.176,Franklin St & Jackson Blvd,casual
11.377,Franklin St & Lake St,member
4.545,Franklin St & Lake St,casual
2.905,Franklin St & Monroe St,casual
10.393,Franklin St & Monroe St,member
0.068,Fullerton & Monitor,casual
0.014,Fullerton & Monitor,member
0.004,Glenlake Ave & Pulaski Rd,member
0.002,Glenlake Ave & Pulaski Rd,casual
2.865,Glenwood Ave & Morse Ave,member
1.207,Glenwood Ave & Morse Ave,casual
1.44,Glenwood Ave & Touhy Ave,member
1.051,Glenwood Ave & Touhy Ave,casual
0.018,Grace & Cicero,member
0.011,Grace & Cicero,casual
0.092,Grace St & Central Ave,member
0.053,Grace St & Central Ave,casual
0.112,Grace St & Cicero Ave,casual
0.214,Grace St & Cicero Ave,member
0.037,Granville Ave & Pulaski Rd,casual
0.056,Granville Ave & Pulaski Rd,member
5.566,Green St & Madison St,casual
14.465,Green St & Madison St,member
5.679,Green St & Randolph St*,member
3.283,Green St & Randolph St*,casual
5.106,Green St & Washington Blvd,member
2.923,Green St & Washington Blvd,casual
2.061,Greenview Ave & Diversey Pkwy,casual
3.968,Greenview Ave & Diversey Pkwy,member
6.138,Greenview Ave & Fullerton Ave,member
2.427,Greenview Ave & Fullerton Ave,casual
1.11,Greenview Ave & Jarvis Ave,casual
2.101,Greenview Ave & Jarvis Ave,member
0.58,Greenwood Ave & 47th St,casual
2.072,Greenwood Ave & 47th St,member
0.078,Greenwood Ave & 79th St,casual
0.009,Greenwood Ave & 79th St,member
0.068,Greenwood Ave & 91st St,casual
0.003,Greenwood Ave & 97th St,member
0.023,Greenwood Ave & 97th St,casual
1.57,Griffin Museum of Science and Industry,member
3.0,Griffin Museum of Science and Industry,casual
0.08,Hale Ave & 107th St,casual
0.058,Hale Ave & 107th St,member
0.026,Halsted St & 104th St,casual
0.017,Halsted St & 104th St,member
0.114,Halsted St & 111th St,member
0.022,Halsted St & 111th St,casual
0.001,Halsted St & 123rd St,member
2.855,Halsted St & 18th St,member
1.514,Halsted St & 18th St,casual
0.873,Halsted St & 21st St,casual
1.676,Halsted St & 21st St,member
1.769,Halsted St & 35th St,member
0.845,Halsted St & 35th St,casual
0.34,Halsted St & 37th St,member
0.207,Halsted St & 37th St,casual
0.078,Halsted St & 47th Pl,casual
0.197,Halsted St & 47th Pl,member
0.038,Halsted St & 51st St,casual
0.143,Halsted St & 51st St,member
0.061,Halsted St & 56th St,casual
0.026,Halsted St & 56th St,member
0.013,Halsted St & 59th St,member
0.03,Halsted St & 59th St,casual
0.075,Halsted St & 63rd St,member
0.093,Halsted St & 63rd St,casual
0.054,Halsted St & 69th St,casual
0.048,Halsted St & 69th St,member
0.038,Halsted St & 73rd St,casual
0.023,Halsted St & 73rd St,member
0.021,Halsted St & 78th St,casual
0.116,Halsted St & 78th St,member
0.002,Halsted St & 83rd St,member
0.002,Halsted St & 93rd St,member
0.002,Halsted St & 93rd St,casual
0.128,Halsted St & 96th St,member
0.041,Halsted St & 96th St,casual
2.036,Halsted St & Archer Ave,member
1.023,Halsted St & Archer Ave,casual
13.471,Halsted St & Clybourn Ave,member
6.011,Halsted St & Clybourn Ave,casual
4.637,Halsted St & Dickens Ave,casual
8.706,Halsted St & Dickens Ave,member
14.064,Halsted St & Fulton St,member
7.369,Halsted St & Fulton St,casual
7.569,Halsted St & Maxwell St,member
3.055,Halsted St & Maxwell St,casual
0.646,Halsted St & North Branch St,casual
1.407,Halsted St & North Branch St,member
13.396,Halsted St & Polk St,member
3.098,Halsted St & Polk St,casual
1.804,Halsted St & Roosevelt Rd,casual
6.096,Halsted St & Roosevelt Rd,member
6.249,Halsted St & Roscoe St,casual
11.006,Halsted St & Roscoe St,member
6.959,Halsted St & Willow St,member
3.087,Halsted St & Willow St,casual
5.593,Halsted St & Wrightwood Ave,casual
10.228,Halsted St & Wrightwood Ave,member
0.003,Hamilton Park,member
0.027,Hamilton Park,casual
0.002,Hamlin Ave & 62nd Pl,member
0.074,Hamlin Ave & 62nd Pl,casual
0.146,Hamlin Ave & Grand Ave,member
0.089,Hamlin Ave & Grand Ave,casual
0.677,Hampden Ct & Diversey Ave,casual
1.505,Hampden Ct & Diversey Ave,member
0.074,Harding Ave & 26th St,casual
0.053,Harding Ave & 26th St,member
0.027,Harding Ave & 31st St,member
0.072,Harding Ave & 31st St,casual
0.056,Harding Ave & Chicago Ave,member
0.046,Harding Ave & Chicago Ave,casual
0.057,Harding Ave & Division St,member
0.081,Harding Ave & Division St,casual
0.058,Harlem & Irving Park,casual
0.023,Harlem & Irving Park,member
0.068,Harlem Ave & Bloomingdale Ave,casual
0.065,Harlem Ave & Bloomingdale Ave,member
0.064,Harlem Ave & Grace St,casual
0.023,Harlem Ave & Grace St,member
0.163,Harlem Ave & Irving Park Rd,casual
0.078,Harlem Ave & Irving Park Rd,member
2.161,Harper Ave & 59th St,member
0.728,Harper Ave & 59th St,casual
0.007,Hegewisch Metra Station,member
0.088,Hegewisch Metra Station,casual
1.088,Hermitage Ave & Polk St,casual
5.153,Hermitage Ave & Polk St,member
0.018,Homan Ave & 26th St,member
0.049,Homan Ave & 26th St,casual
0.022,Homan Ave & 65th St,casual
0.02,Homan Ave & 65th St,member
0.011,Homan Ave & 77th St,casual
0.011,Homan Ave & Arthington Ave,casual
0.007,Homan Ave & Arthington Ave,member
0.016,Homan Ave & Fillmore St,member
0.029,Homan Ave & Fillmore St,casual
0.035,Homewood Ave & 115th St,casual
0.007,Homewood Ave & 115th St,member
8.255,Honore St & Division St,member
3.394,Honore St & Division St,casual
0.055,Houston Ave & 92nd St,member
0.05,Houston Ave & 92nd St,casual
0.156,Hoyne Ave & 34th St,member
0.048,Hoyne Ave & 34th St,casual
0.223,Hoyne Ave & 47th St,casual
0.236,Hoyne Ave & 47th St,member
0.899,Hoyne Ave & Balmoral Ave,casual
1.616,Hoyne Ave & Balmoral Ave,member
1.959,Humboldt Blvd & Armitage Ave,casual
2.909,Humboldt Blvd & Armitage Ave,member
0.059,Indiana Ave & 103rd St,casual
0.02,Indiana Ave & 103rd St,member
0.005,Indiana Ave & 133rd St,member
0.014,Indiana Ave & 133rd St,casual
2.708,Indiana Ave & 26th St,member
1.179,Indiana Ave & 26th St,casual
0.702,Indiana Ave & 31st St,casual
3.515,Indiana Ave & 31st St,member
0.114,Indiana Ave & 40th St,member
0.19,Indiana Ave & 40th St,casual
11.808,Indiana Ave & Roosevelt Rd,casual
13.973,Indiana Ave & Roosevelt Rd,member
6.5,Jefferson St & Monroe St,member
2.626,Jefferson St & Monroe St,casual
0.142,Jeffery Blvd & 67th St,casual
0.238,Jeffery Blvd & 67th St,member
0.287,Jeffery Blvd & 71st St,member
0.11,Jeffery Blvd & 71st St,casual
0.05,Jeffery Blvd & 76th St,casual
0.04,Jeffery Blvd & 76th St,member
0.446,Karlov Ave & Armitage Ave,member
0.319,Karlov Ave & Armitage Ave,casual
0.184,Karlov Ave & Lawrence Ave,casual
0.244,Karlov Ave & Lawrence Ave,member
0.057,Karlov Ave & Madison St,casual
0.056,Karlov Ave & Madison St,member
0.322,Kedvale Ave & Peterson Ave,member
0.083,Kedvale Ave & Peterson Ave,casual
0.043,Kedzie Ave & 104th St,casual
0.017,Kedzie Ave & 110th St,member
0.051,Kedzie Ave & 110th St,casual
0.356,Kedzie Ave & 21st St,member
0.22,Kedzie Ave & 21st St,casual
0.063,Kedzie Ave & 24th St,casual
0.052,Kedzie Ave & 24th St,member
0.017,Kedzie Ave & 38th St,casual
0.006,Kedzie Ave & 38th St,member
0.048,Kedzie Ave & 45th St,member
0.02,Kedzie Ave & 45th St,casual
0.546,Kedzie Ave & 48th Pl,casual
0.276,Kedzie Ave & 48th Pl,member
0.029,Kedzie Ave & 52nd St,member
0.067,Kedzie Ave & 52nd St,casual
0.048,Kedzie Ave & 54th Pl,casual
0.04,Kedzie Ave & 54th Pl,member
0.167,Kedzie Ave & 57th St,casual
0.099,Kedzie Ave & 57th St,member
0.026,Kedzie Ave & 60th St,member
0.035,Kedzie Ave & 60th St,casual
0.026,Kedzie Ave & 66th Pl,member
0.053,Kedzie Ave & 66th Pl,casual
0.031,Kedzie Ave & 73rd St,member
0.023,Kedzie Ave & 73rd St,casual
0.004,Kedzie Ave & 83rd St,member
0.069,Kedzie Ave & 83rd St,casual
0.028,Kedzie Ave & Archer Ave,member
0.037,Kedzie Ave & Archer Ave,casual
0.521,Kedzie Ave & Bryn Mawr Ave,member
0.252,Kedzie Ave & Bryn Mawr Ave,casual
0.196,Kedzie Ave & Chicago Ave,casual
0.4,Kedzie Ave & Chicago Ave,member
0.547,Kedzie Ave & Foster Ave,member
0.442,Kedzie Ave & Foster Ave,casual
0.473,Kedzie Ave & George St,casual
0.628,Kedzie Ave & George St,member
0.066,Kedzie Ave & Harrison St,member
0.044,Kedzie Ave & Harrison St,casual
0.033,Kedzie Ave & Jackson Blvd,casual
0.062,Kedzie Ave & Jackson Blvd,member
0.278,Kedzie Ave & Lake St,casual
0.42,Kedzie Ave & Lake St,member
0.681,Kedzie Ave & Leland Ave,casual
1.727,Kedzie Ave & Leland Ave,member
4.05,Kedzie Ave & Milwaukee Ave,casual
6.122,Kedzie Ave & Milwaukee Ave,member
2.94,Kedzie Ave & Palmer Ct,member
1.63,Kedzie Ave & Palmer Ct,casual
0.012,Kedzie Ave & Redfield Dr,member
0.133,Kedzie Ave & Redfield Dr,casual
0.046,Kedzie Ave & Roosevelt Rd,casual
0.046,Kedzie Ave & Roosevelt Rd,member
0.265,Keeler Ave & Carmen Ave,casual
0.201,Keeler Ave & Carmen Ave,member
0.016,Keeler Ave & Roosevelt Rd,casual
0.014,Keeler Ave & Roosevelt Rd,member
0.057,Kenneth Ave & 50th St,casual
0.019,Kenneth Ave & 50th St,member
0.199,Kenneth Ave & Lawrence Ave,casual
0.273,Kenneth Ave & Lawrence Ave,member
0.216,Kenosha Ave & Wellington Ave,casual
0.262,Kenosha Ave & Wellington Ave,member
0.022,Kenton Ave & Madison St,member
0.034,Kenton Ave & Madison St,casual
0.422,Keystone Ave & Fullerton Ave,casual
0.808,Keystone Ave & Fullerton Ave,member
0.37,Keystone Ave & Montrose Ave,casual
0.851,Keystone Ave & Montrose Ave,member
0.003,Kilbourn & Belden,casual
0.017,Kilbourn & Belden,member
0.006,Kilbourn Ave & 49th St,member
0.039,Kilbourn Ave & 49th St,casual
0.098,Kilbourn Ave & Belden Ave,casual
0.324,Kilbourn Ave & Belden Ave,member
0.146,Kilbourn Ave & Diversey Ave,casual
0.198,Kilbourn Ave & Diversey Ave,member
0.299,Kilbourn Ave & Irving Park Rd,casual
0.557,Kilbourn Ave & Irving Park Rd,member
0.231,Kilbourn Ave & Milwaukee Ave,casual
0.328,Kilbourn Ave & Milwaukee Ave,member
0.193,Kilbourn Ave & Roscoe St,member
0.206,Kilbourn Ave & Roscoe St,casual
0.01,Kildare & Cermak,member
0.035,Kildare & Cermak,casual
0.002,Kildare & Chicago Ave,member
0.004,Kildare & Chicago Ave,casual
0.042,Kildare Ave & 26th St,member
0.073,Kildare Ave & 26th St,casual
0.026,Kildare Ave & 47th St,member
0.056,Kildare Ave & 47th St,casual
0.01,Kildare Ave & 55th St,member
0.085,Kildare Ave & 55th St,casual
0.001,Kildare Ave & 85th St,member
0.019,Kildare Ave & 85th St,casual
0.02,Kildare Ave & 85th St (Kostner Ave & 87th St TEMPORARY),casual
0.005,Kildare Ave & 85th St (Kostner Ave & 87th St TEMPORARY),member
0.018,Kildare Ave & Archer Ave,member
0.017,Kildare Ave & Archer Ave,casual
0.02,Kildare Ave & Chicago Ave,member
0.062,Kildare Ave & Chicago Ave,casual
0.04,Kildare Ave & Division St,member
0.067,Kildare Ave & Division St,casual
0.496,Kildare Ave & Montrose Ave,member
0.3,Kildare Ave & Montrose Ave,casual
0.115,Kildare Ave & North Ave,member
0.079,Kildare Ave & North Ave,casual
0.084,Kilpatrick Ave & Grand Ave,casual
0.114,Kilpatrick Ave & Grand Ave,member
0.094,Kilpatrick Ave & Parker Ave,casual
0.088,Kilpatrick Ave & Parker Ave,member
1.132,Kimball Ave & Belmont Ave,casual
1.723,Kimball Ave & Belmont Ave,member
11.58,Kimbark Ave & 53rd St,member
4.025,Kimbark Ave & 53rd St,casual
5.262,Kingsbury St & Erie St,casual
15.211,Kingsbury St & Erie St,member
29.212,Kingsbury St & Kinzie St,member
10.036,Kingsbury St & Kinzie St,casual
0.007,Knox Ave & Marquette Ave,member
0.079,Knox Ave & Marquette Ave,casual
0.704,Knox Ave & Montrose Ave,member
0.425,Knox Ave & Montrose Ave,casual
0.259,Komensky Ave & 31st St,member
0.057,Komensky Ave & 31st St,casual
0.051,Komensky Ave & 47th St,casual
0.049,Komensky Ave & 47th St,member
0.082,Komensky Ave & 55th St,casual
0.033,Komensky Ave & 55th St,member
0.937,Kosciuszko Park,casual
1.432,Kosciuszko Park,member
0.026,Kostner Ave & 63rd St,member
0.077,Kostner Ave & 63rd St,casual
0.204,Kostner Ave & Adams St,member
0.024,Kostner Ave & Adams St,casual
0.081,Kostner Ave & Belmont Ave,casual
0.093,Kostner Ave & Belmont Ave,member
0.172,Kostner Ave & Bryn Mawr Ave,member
0.203,Kostner Ave & Bryn Mawr Ave,casual
0.084,Kostner Ave & Devon Ave,member
0.181,Kostner Ave & Devon Ave,casual
0.02,Kostner Ave & Lake St,member
0.062,Kostner Ave & Lake St,casual
0.463,Kostner Ave & Wrightwood Ave,member
0.215,Kostner Ave & Wrightwood Ave,casual
0.048,La Villita Park,casual
0.019,La Villita Park,member
0.015,La Villita Park (Albany/30th),casual
4.467,LaSalle Dr & Huron St,casual
7.025,LaSalle Dr & Huron St,member
3.439,LaSalle St & Adams St,member
1.932,LaSalle St & Adams St,casual
9.637,LaSalle St & Illinois St,casual
13.796,LaSalle St & Illinois St,member
12.943,LaSalle St & Jackson Blvd,member
3.81,LaSalle St & Jackson Blvd,casual
5.967,LaSalle St & Washington St,member
2.431,LaSalle St & Washington St,casual
0.001,Laflin St & 115th St,member
1.742,Laflin St & Cullerton St,member
1.036,Laflin St & Cullerton St,casual
2.203,Lake Park Ave & 35th St,member
1.242,Lake Park Ave & 35th St,casual
0.908,Lake Park Ave & 47th St,casual
1.238,Lake Park Ave & 47th St,member
2.273,Lake Park Ave & 53rd St,casual
4.807,Lake Park Ave & 53rd St,member
2.92,Lake Park Ave & 56th St,casual
6.616,Lake Park Ave & 56th St,member
5.803,Lakefront Trail & Bryn Mawr Ave,casual
6.645,Lakefront Trail & Bryn Mawr Ave,member
3.302,Lakefront Trail & Wilson Ave,member
4.084,Lakefront Trail & Wilson Ave,casual
10.255,Lakeview Ave & Fullerton Pkwy,member
7.134,Lakeview Ave & Fullerton Pkwy,casual
0.003,Lamon Ave & 47th St,member
0.011,Lamon Ave & 47th St,casual
0.081,Lamon Ave & Armitage Ave,casual
0.102,Lamon Ave & Armitage Ave,member
0.071,Lamon Ave & Belmont Ave,member
0.11,Lamon Ave & Belmont Ave,casual
0.083,Lamon Ave & Chicago Ave,casual
0.025,Lamon Ave & Chicago Ave,member
0.087,Laramie Ave & Addison St,casual
0.048,Laramie Ave & Addison St,member
0.027,Laramie Ave & Bloomingdale Ave,casual
0.026,Laramie Ave & Bloomingdale Ave,member
0.045,Laramie Ave & Gladys Ave,member
0.024,Laramie Ave & Gladys Ave,casual
0.079,Laramie Ave & Irving Park Rd,member
0.165,Laramie Ave & Irving Park Rd,casual
0.043,Laramie Ave & Kinzie St,member
0.066,Laramie Ave & Kinzie St,casual
0.064,Laramie Ave & Madison St,member
0.073,Laramie Ave & Madison St,casual
2.983,Larrabee St & Armitage Ave,casual
4.936,Larrabee St & Armitage Ave,member
3.586,Larrabee St & Division St,casual
6.77,Larrabee St & Division St,member
4.771,Larrabee St & Kingsbury St,casual
17.249,Larrabee St & Kingsbury St,member
4.022,Larrabee St & Menomonee St,member
1.345,Larrabee St & Menomonee St,casual
1.997,Larrabee St & North Ave,casual
4.855,Larrabee St & North Ave,member
2.146,Larrabee St & Oak St,casual
6.84,Larrabee St & Oak St,member
6.88,Larrabee St & Webster Ave,casual
10.617,Larrabee St & Webster Ave,member
0.018,Latrobe Ave & Chicago Ave,casual
0.062,Latrobe Ave & Chicago Ave,member
0.002,Lavergne Ave & 44th St,casual
0.002,Lavergne Ave & 44th St,member
0.008,Lavergne Ave & 46th St,member
0.048,Lavergne Ave & 46th St,casual
0.05,Lavergne Ave & Diversey Ave,casual
0.052,Lavergne Ave & Diversey Ave,member
0.057,Lavergne Ave & Division St,casual
0.088,Lavergne Ave & Division St,member
0.156,Lavergne Ave & Fullerton Ave,casual
0.164,Lavergne Ave & Fullerton Ave,member
0.165,Lavergne Ave & Lawrence Ave,member
0.039,Lavergne Ave & Lawrence Ave,casual
0.038,Lawler Ave & 50th St,member
0.103,Lawler Ave & 50th St,casual
0.064,Lawler Ave & North Ave,member
0.021,Lawler Ave & North Ave,casual
0.031,Lawndale Ave & 111th St,member
0.117,Lawndale Ave & 111th St,casual
0.004,Lawndale Ave & 16th St,member
0.047,Lawndale Ave & 16th St,casual
0.141,Lawndale Ave & 30th St,casual
0.023,Lawndale Ave & 30th St,member
0.01,Lawndale Ave & 59th St,casual
0.006,Lawndale Ave & 59th St,member
0.019,Leamington Ave & Hirsch St,member
0.034,Leamington Ave & Hirsch St,casual
1.004,Leavitt St & Addison St,casual
1.524,Leavitt St & Addison St,member
0.567,Leavitt St & Archer Ave,member
0.484,Leavitt St & Archer Ave,casual
4.275,Leavitt St & Armitage Ave,member
1.906,Leavitt St & Armitage Ave,casual
1.92,Leavitt St & Belmont Ave,casual
2.604,Leavitt St & Belmont Ave,member
1.679,Leavitt St & Chicago Ave,casual
3.169,Leavitt St & Chicago Ave,member
1.333,Leavitt St & Division St,casual
3.013,Leavitt St & Division St,member
2.408,Leavitt St & Lawrence Ave,member
1.415,Leavitt St & Lawrence Ave,casual
3.589,Leavitt St & North Ave,member
1.388,Leavitt St & North Ave,casual
1.812,Leavitt St/North Ave,member
0.69,Leavitt St/North Ave,casual
0.11,Leclaire Ave & Belmont Ave,member
0.124,Leclaire Ave & Belmont Ave,casual
0.001,Lexington & California Ave,member
0.005,Lexington & California Ave,casual
0.074,Lexington St & California Ave,casual
0.112,Lexington St & California Ave,member
1.355,Lincoln Ave & Addison St,casual
2.498,Lincoln Ave & Addison St,member
0.392,Lincoln Ave & Balmoral Ave,member
0.181,Lincoln Ave & Balmoral Ave,casual
3.352,Lincoln Ave & Belle Plaine Ave,member
1.642,Lincoln Ave & Belle Plaine Ave,casual
1.522,Lincoln Ave & Byron St,casual
3.054,Lincoln Ave & Byron St,member
7.249,Lincoln Ave & Diversey Pkwy,member
3.738,Lincoln Ave & Diversey Pkwy,casual
5.949,Lincoln Ave & Fullerton Ave,casual
12.927,Lincoln Ave & Fullerton Ave,member
7.215,Lincoln Ave & Melrose St,member
2.707,Lincoln Ave & Melrose St,casual
0.609,Lincoln Ave & Peterson Ave,member
0.26,Lincoln Ave & Peterson Ave,casual
5.986,Lincoln Ave & Roscoe St*,member
2.362,Lincoln Ave & Roscoe St*,casual
1.984,Lincoln Ave & Sunnyside Ave,casual
3.873,Lincoln Ave & Sunnyside Ave,member
3.177,Lincoln Ave & Waveland Ave,member
1.132,Lincoln Ave & Waveland Ave,casual
1.33,Lincoln Ave & Winona St,member
0.589,Lincoln Ave & Winona St,casual
6.027,Lincoln Park Conservatory,member
7.158,Lincoln Park Conservatory,casual
0.25,Lincolnwood Dr & Central St,member
0.28,Lincolnwood Dr & Central St,casual
0.087,Linder Ave & Montrose Ave,casual
0.132,Linder Ave & Montrose Ave,member
0.068,Lockwood Ave & Grand Ave,casual
0.109,Lockwood Ave & Grand Ave,member
0.121,Lockwood Ave & Wrightwood Ave,casual
0.278,Lockwood Ave & Wrightwood Ave,member
0.012,Lockwood Ave and Grand Ave,member
0.014,Lockwood Ave and Grand Ave,casual
1.356,Logan Blvd & Elston Ave,casual
3.575,Logan Blvd & Elston Ave,member
0.296,Long & Irving Park,casual
0.229,Long & Irving Park,member
0.056,Long Ave & Belden Ave,casual
0.084,Long Ave & Belden Ave,member
0.132,Long Ave & Belmont Ave,casual
0.212,Long Ave & Belmont Ave,member
0.043,Long Ave & Diversey Ave,member
0.046,Long Ave & Diversey Ave,casual
0.033,Long Ave & North Ave,casual
0.013,Long Ave & North Ave,member
0.153,Loomis Blvd & 84th St,casual
0.009,Loomis Blvd & 84th St,member
0.124,Loomis St & 89th St,casual
0.033,Loomis St & 89th St,member
0.003,Loomis St & 95th St,member
1.007,Loomis St & Archer Ave,member
0.485,Loomis St & Archer Ave,casual
1.596,Loomis St & Jackson Blvd,casual
4.497,Loomis St & Jackson Blvd,member
15.276,Loomis St & Lexington St,member
2.872,Loomis St & Lexington St,casual
0.082,Lowell Ave & Armitage,member
0.083,Lowell Ave & Armitage,casual
0.073,Lowell Ave & Armitage Ave,member
0.102,Lowell Ave & Armitage Ave,casual
0.002,Lynch Ave & Elston Ave,member
1.65,MLK Jr Dr & 29th St,casual
12.729,MLK Jr Dr & 29th St,member
0.417,MLK Jr Dr & 47th St,member
0.247,MLK Jr Dr & 47th St,casual
0.168,MLK Jr Dr & 56th St,member
0.165,MLK Jr Dr & 56th St,casual
0.099,MLK Jr Dr & 63rd St,member
0.177,MLK Jr Dr & 63rd St,casual
0.023,MLK Jr Dr & 83rd St,casual
0.085,MLK Jr Dr & 83rd St,member
0.893,MLK Jr Dr & Pershing Rd,member
0.542,MLK Jr Dr & Pershing Rd,casual
0.048,MTV Hubbard St,casual
0.14,MTV Hubbard St,member
0.082,Major Ave & Addison St,member
0.076,Major Ave & Addison St,casual
0.007,Major Ave & Bloomingdale Ave,member
0.026,Major Ave & Bloomingdale Ave,casual
0.023,Major Taylor Trail & 115th St,casual
0.035,Major Taylor Trail & 115th St,member
0.02,Major Taylor Trail & 124th St,casual
0.007,Major Taylor Trail & 124th St,member
1.453,Malcolm X College,member
0.627,Malcolm X College,casual
0.067,Mango Ave & Diversey Ave,member
0.068,Mango Ave & Diversey Ave,casual
0.053,Mango Ave & North Ave,casual
0.009,Mango Ave & North Ave,member
0.006,Manistee Ave & 95th St,casual
0.001,Manistee Ave & 95th St,member
0.553,Manor Ave & Leland Ave,casual
1.118,Manor Ave & Leland Ave,member
0.036,Maplewood Ave & 59th St,casual
0.058,Maplewood Ave & 59th St,member
0.167,Maplewood Ave & Peterson Ave,casual
0.503,Maplewood Ave & Peterson Ave,member
2.846,Marine Dr & Ainslie St,casual
4.23,Marine Dr & Ainslie St,member
0.005,Market Days Scooter Corral,member
0.005,Market Days Scooter Corral,casual
0.057,Marmora Ave & Belmont Ave,casual
0.022,Marmora Ave & Belmont Ave,member
0.107,Marmora Ave & Irving Park Rd,casual
0.047,Marmora Ave & Irving Park Rd,member
0.015,Marquette Ave & 89th St,member
0.048,Marquette Ave & 89th St,casual
0.109,Marshfield Ave & 44th St,member
0.061,Marshfield Ave & 44th St,casual
0.031,Marshfield Ave & 59th St,casual
0.038,Marshfield Ave & 59th St,member
0.035,Martin Luther King Dr & 111th St,casual
0.039,Martin Luther King Dr & 111th St,member
0.01,Martin Luther King Dr & 87th St,casual
0.008,Martin Luther King Dr & 87th St,member
0.035,Maryland Ave & 104th St,casual
0.002,Maryland Ave & 104th St,member
0.061,Mason Ave & Belmont Ave,casual
0.028,Mason Ave & Belmont Ave,member
0.043,Mason Ave & Grand Ave,member
0.044,Mason Ave & Grand Ave,casual
0.015,Mason Ave & Montrose Ave,casual
0.017,Mason Ave & Montrose Ave,member
0.053,May St & 69th St,casual
0.211,May St & 69th St,member
2.008,May St & Cullerton St,member
0.782,May St & Cullerton St,casual
9.058,May St & Taylor St,member
1.98,May St & Taylor St,casual
0.005,Mayfield & Roosevelt Rd,casual
0.004,Mayfield & Roosevelt Rd,member
0.027,Mayfield Ave & Roosevelt Rd,member
0.038,Mayfield Ave & Roosevelt Rd,casual
5.304,McClurg Ct & Erie St,casual
11.513,McClurg Ct & Erie St,member
8.763,McClurg Ct & Ohio St,casual
13.047,McClurg Ct & Ohio St,member
0.712,McCormick Blvd & Devon Ave,member
0.502,McCormick Blvd & Devon Ave,casual
5.712,McCormick Place,casual
2.508,McCormick Place,member
0.055,Meade Ave & Addison St,casual
0.059,Meade Ave & Addison St,member
0.055,Meade Ave & Diversey Ave,member
0.068,Meade Ave & Diversey Ave,casual
0.083,Meade Ave & Fullerton Ave,member
0.09,Meade Ave & Fullerton Ave,casual
0.004,Melvina Ave & Giddings Ave,casual
0.005,Melvina Ave & Giddings Ave,member
0.003,Menard Ave & Division St,casual
0.002,Menard Ave & Division St,member
0.059,Menard Ave & Lawrence Ave,casual
0.167,Menard Ave & Lawrence Ave,member
0.001,Menard Ave & Milwaukee Ave,member
0.001,Menard Ave & Milwaukee Ave,casual
0.028,Menard Ave & North Ave,casual
0.004,Menard Ave & North Ave,member
0.061,Merrimac Park,member
0.104,Merrimac Park,casual
0.003,Michigan Ave & 105th St,member
0.032,Michigan Ave & 105th St,casual
0.004,Michigan Ave & 108th St,casual
0.001,Michigan Ave & 108th St,member
0.002,Michigan Ave & 113th St,member
0.001,Michigan Ave & 113th St,casual
0.01,Michigan Ave & 114th St,member
0.02,Michigan Ave & 114th St,casual
8.41,Michigan Ave & 14th St,member
4.428,Michigan Ave & 14th St,casual
6.029,Michigan Ave & 18th St,member
3.935,Michigan Ave & 18th St,casual
0.108,Michigan Ave & 71st St,member
0.016,Michigan Ave & 71st St,casual
7.066,Michigan Ave & 8th St,member
13.322,Michigan Ave & 8th St,casual
2.849,Michigan Ave & Ida B Wells Dr,member
4.399,Michigan Ave & Ida B Wells Dr,casual
5.958,Michigan Ave & Jackson Blvd,member
6.944,Michigan Ave & Jackson Blvd,casual
12.56,Michigan Ave & Lake St,member
9.284,Michigan Ave & Lake St,casual
5.72,Michigan Ave & Madison St,member
5.226,Michigan Ave & Madison St,casual
14.292,Michigan Ave & Oak St,member
24.738,Michigan Ave & Oak St,casual
5.104,Michigan Ave & Pearson St,member
5.395,Michigan Ave & Pearson St,casual
13.604,Michigan Ave & Washington St,member
10.497,Michigan Ave & Washington St,casual
0.094,Midway Orange Line,member
0.265,Midway Orange Line,casual
8.43,Mies van der Rohe Way & Chestnut St,member
6.353,Mies van der Rohe Way & Chestnut St,casual
4.776,Mies van der Rohe Way & Chicago Ave,casual
9.013,Mies van der Rohe Way & Chicago Ave,member
0.113,Millard Ave & 26th St,casual
0.159,Millard Ave & 26th St,member
22.18,Millennium Park,casual
10.383,Millennium Park,member
0.217,Milwaukee Ave & Agatite Ave,member
0.086,Milwaukee Ave & Agatite Ave,casual
0.272,Milwaukee Ave & Ainslie St,casual
0.332,Milwaukee Ave & Ainslie St,member
0.311,Milwaukee Ave & Cuyler Ave,casual
0.42,Milwaukee Ave & Cuyler Ave,member
1.951,Milwaukee Ave & Fullerton Ave,member
1.59,Milwaukee Ave & Fullerton Ave,casual
9.942,Milwaukee Ave & Grand Ave,member
5.146,Milwaukee Ave & Grand Ave,casual
2.247,Milwaukee Ave & Rockwell St,member
1.594,Milwaukee Ave & Rockwell St,casual
8.203,Milwaukee Ave & Wabansia Ave,member
3.602,Milwaukee Ave & Wabansia Ave,casual
0.021,Monitor Ave & Division St,casual
0.021,Monitor Ave & Division St,member
0.063,Monticello Ave & Chicago Ave,casual
0.058,Monticello Ave & Chicago Ave,member
1.76,Monticello Ave & Irving Park Rd,member
0.547,Monticello Ave & Irving Park Rd,casual
0.406,Monticello Ave & Lawrence Ave,casual
0.671,Monticello Ave & Lawrence Ave,member
7.655,Montrose Harbor,member
11.047,Montrose Harbor,casual
3.231,Morgan Ave & 14th Pl,member
